name,location_str,latitude,longitude,price,rating,cuisine,recommender,date,neighborhood
Shuraku,47 8th Ave,40.7385446555585,-74.0040071109515,$$$,4.5,Tapas/Small Plates,Robert Sietsema,2018-01-26,West Village
Ichibantei,401 East 13th St,40.73063,-73.98275,$$,4.0,Japanese,Serena Dai,2018-01-26,East Village
The Dead Rabbit,30 Water St,40.70329,-74.01102,$$,4.0,Cocktail Bars,Serena Dai,2018-01-19,Financial District
Madre Mezcaleria,706 Washington Ave,40.676910400390604,-73.9638442993164,$$,4.0,Cocktail Bars,Kayla Kumari Upadhyaya,2018-01-19,Prospect Heights
Almond,12 East 22nd St,40.740081787109396,-73.98875427246091,$$,4.0,American (New),Stefanie Tuder,2018-01-12,Flatiron District
Bebe Fritay,826 Rogers Ave,40.650499200000006,-73.9524665,$$,3.5,Haitian,Robert Sietsema,2018-01-12,Flatbush
Colonia Verde,219 Dekalb Ave,40.689735412597706,-73.970703125,$$,4.0,Latin American,Serena Dai,2018-01-12,Fort Greene
Ki Sushi,282 Flatbush Ave,40.6784417729132,-73.9734394269355,$$,4.5,Japanese,Serena Dai,2018-01-05,Park Slope
Mee Sum,26 Pell St,40.715045,-73.99829100000001,$,3.5,Dim Sum,Robert Sietsema,2018-01-05,Chinatown
Broa,297 Grove St,40.71862,-74.04386,$$,4.0,Cafes,Stefanie Tuder,2018-01-05,Downtown
June,231 Court St,40.6861,-73.99394000000001,$$,4.0,Wine Bars,Kayla Kumari Upadhyaya,2018-01-05,Carroll Gardens
The Chinese Club,208 Grand St,40.713844,-73.96039,$$,4.0,Indian,Serena Dai,2017-12-29,Williamsburg
Mood Ring,1260 Myrtle Ave,40.697725,-73.926887,$$,4.0,Cocktail Bars,Serena Dai,2017-12-29,Bushwick
Evelina,211 Dekalb Ave,40.689721999999996,-73.971003,$$$,4.5,Italian,Robert Sietsema,2017-12-08,Fort Greene
McWhorter Barbecue,104 McWhorter St,40.729440999999994,-74.166709,$,4.0,Barbeque,Robert Sietsema,2017-12-08,Central Business District
